token_name,default_value,source_file,tier,formula,namespace,category,concept,property,component,element,variant,state,scale,mode,collisions
$system-z-index-0,0,_properties.scss,system,namespace.category.scale,system,z-index,,,,,,,0,,
$system-z-index-100,100,_properties.scss,system,namespace.category.scale,system,z-index,,,,,,,100,,
$system-z-index-200,200,_properties.scss,system,namespace.category.scale,system,z-index,,,,,,,200,,
$system-z-index-300,300,_properties.scss,system,namespace.category.scale,system,z-index,,,,,,,300,,
$system-z-index-400,400,_properties.scss,system,namespace.category.scale,system,z-index,,,,,,,400,,
$system-z-index-500,500,_properties.scss,system,namespace.category.scale,system,z-index,,,,,,,500,,
$system-z-index-auto,auto,_properties.scss,system,namespace.category,system,z-index,,,,,,,,,
$system-z-index-bottom,-100,_properties.scss,system,namespace.category.property,system,z-index,,bottom,,,,,,,
$system-z-index-top,99999,_properties.scss,system,namespace.category.property,system,z-index,,top,,,,,,,
$system-opacity-0,0,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,0,,
$system-opacity-10,0.1,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,10,,
$system-opacity-20,0.2,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,20,,
$system-opacity-30,0.3,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,30,,
$system-opacity-40,0.4,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,40,,
$system-opacity-50,0.5,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,50,,
$system-opacity-60,0.6,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,60,,
$system-opacity-70,0.7,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,70,,
$system-opacity-80,0.8,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,80,,
$system-opacity-90,0.9,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,90,,
$system-opacity-100,1,_properties.scss,system,namespace.category.scale,system,opacity,,,,,,,100,,
$system-box-shadow-1,"0 1px 0.25rem 0 rgba(0, 0, 0, 0.1)",_properties.scss,system,namespace.category.scale,system,shadow,,,,,,,1,,
$system-box-shadow-2,"0 0.25rem 0.5rem 0 rgba(0, 0, 0, 0.1)",_properties.scss,system,namespace.category.scale,system,shadow,,,,,,,2,,
$system-box-shadow-3,"0 0.5rem 1rem 0 rgba(0, 0, 0, 0.1)",_properties.scss,system,namespace.category.scale,system,shadow,,,,,,,3,,
$system-box-shadow-4,"0 0.75rem 1.5rem 0 rgba(0, 0, 0, 0.1)",_properties.scss,system,namespace.category.scale,system,shadow,,,,,,,4,,
$system-box-shadow-5,"0 1rem 2rem 0 rgba(0, 0, 0, 0.1)",_properties.scss,system,namespace.category.scale,system,shadow,,,,,,,5,,
$system-box-shadow-none,none,_properties.scss,system,namespace.category,system,shadow,,,,,,,,,
$system-order-0,0,_properties.scss,system,namespace.category.scale,system,order,,,,,,,0,,
$system-order-1,1,_properties.scss,system,namespace.category.scale,system,order,,,,,,,1,,
$system-order-2,2,_properties.scss,system,namespace.category.scale,system,order,,,,,,,2,,
$system-order-3,3,_properties.scss,system,namespace.category.scale,system,order,,,,,,,3,,
