token_name,default_value,source_file,tier,formula,namespace,category,concept,property,component,element,variant,state,scale,mode,collisions
$test-system-color-tokens,false,_settings-color.scss,settings,category,,color,,,,,,,,,color:category/property
$theme-color-base-family,"""gray-cool""",_settings-color.scss,settings,namespace.category.concept.property,theme,color,base,family,,,,,,,color:category/property
$theme-color-base-lightest,"""gray-5""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,base,,,,,,,lightest,color:category/property
$theme-color-base-lighter,"""gray-cool-10""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,base,,,,,,,lighter,color:category/property
$theme-color-base-light,"""gray-cool-30""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,base,,,,,,,light,color:category/property
$theme-color-base,"""gray-cool-50""",_settings-color.scss,settings,namespace.category.concept,theme,color,base,,,,,,,,color:category/property
$theme-color-base-dark,"""gray-cool-60""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,base,,,,,,,dark,color:category/property
$theme-color-base-darker,"""gray-cool-70""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,base,,,,,,,darker,color:category/property
$theme-color-base-darkest,"""gray-90""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,base,,,,,,,darkest,color:category/property
$theme-color-base-ink,"""gray-90""",_settings-color.scss,settings,namespace.category.concept,theme,color,base,,,,,,,,color:category/property
$theme-color-primary-family,"""blue""",_settings-color.scss,settings,namespace.category.concept.property,theme,color,primary,family,,,,,,,color:category/property
$theme-color-primary-lightest,false,_settings-color.scss,settings,namespace.category.concept.mode,theme,color,primary,,,,,,,lightest,color:category/property
$theme-color-primary-lighter,"""blue-10""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,primary,,,,,,,lighter,color:category/property
$theme-color-primary-light,"""blue-30""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,primary,,,,,,,light,color:category/property
$theme-color-primary,"""blue-60v""",_settings-color.scss,settings,namespace.category.concept,theme,color,primary,,,,,,,,color:category/property
$theme-color-primary-vivid,"""blue-warm-60v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,primary,,,,,,,vivid,color:category/property
$theme-color-primary-dark,"""blue-warm-70v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,primary,,,,,,,dark,color:category/property
$theme-color-primary-darker,"""blue-warm-80v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,primary,,,,,,,darker,color:category/property
$theme-color-primary-darkest,false,_settings-color.scss,settings,namespace.category.concept.mode,theme,color,primary,,,,,,,darkest,color:category/property
$theme-color-secondary-family,"""red""",_settings-color.scss,settings,namespace.category.concept.property,theme,color,secondary,family,,,,,,,color:category/property
$theme-color-secondary-lightest,false,_settings-color.scss,settings,namespace.category.concept.mode,theme,color,secondary,,,,,,,lightest,color:category/property
$theme-color-secondary-lighter,"""red-cool-10""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,secondary,,,,,,,lighter,color:category/property
$theme-color-secondary-light,"""red-30""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,secondary,,,,,,,light,color:category/property
$theme-color-secondary,"""red-50""",_settings-color.scss,settings,namespace.category.concept,theme,color,secondary,,,,,,,,color:category/property
$theme-color-secondary-vivid,"""red-cool-50v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,secondary,,,,,,,vivid,color:category/property
$theme-color-secondary-dark,"""red-60v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,secondary,,,,,,,dark,color:category/property
$theme-color-secondary-darker,"""red-70v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,secondary,,,,,,,darker,color:category/property
$theme-color-secondary-darkest,false,_settings-color.scss,settings,namespace.category.concept.mode,theme,color,secondary,,,,,,,darkest,color:category/property
$theme-color-accent-warm-family,"""orange""",_settings-color.scss,settings,namespace.category.concept.property,theme,color,accent,family,,,,,,,color:category/property
$theme-color-accent-warm-lightest,false,_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,lightest,color:category/property
$theme-color-accent-warm-lighter,"""orange-10""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,lighter,color:category/property
$theme-color-accent-warm-light,"""orange-20v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,light,color:category/property
$theme-color-accent-warm,"""orange-30v""",_settings-color.scss,settings,namespace.category.concept,theme,color,accent,,,,,,,,color:category/property
$theme-color-accent-warm-dark,"""orange-50v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,dark,color:category/property
$theme-color-accent-warm-darker,"""orange-60""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,darker,color:category/property
$theme-color-accent-warm-darkest,false,_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,darkest,color:category/property
$theme-color-accent-cool-family,"""blue-cool""",_settings-color.scss,settings,namespace.category.concept.property,theme,color,accent,family,,,,,,,color:category/property
$theme-color-accent-cool-lightest,false,_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,lightest,color:category/property
$theme-color-accent-cool-lighter,"""blue-cool-5v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,lighter,color:category/property
$theme-color-accent-cool-light,"""blue-cool-20v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,light,color:category/property
$theme-color-accent-cool,"""cyan-30v""",_settings-color.scss,settings,namespace.category.concept,theme,color,accent,,,,,,,,color:category/property
$theme-color-accent-cool-dark,"""blue-cool-40v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,dark,color:category/property
$theme-color-accent-cool-darker,"""blue-cool-60v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,darker,color:category/property
$theme-color-accent-cool-darkest,false,_settings-color.scss,settings,namespace.category.concept.mode,theme,color,accent,,,,,,,darkest,color:category/property
$theme-color-error-family,"""red-warm""",_settings-color.scss,settings,namespace.category.concept.property,theme,color,error,family,,,,,,,color:category/property; error:concept/state
$theme-color-error-lighter,"""red-warm-10""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,error,,,,,,,lighter,color:category/property; error:concept/state
$theme-color-error-light,"""red-warm-30v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,error,,,,,,,light,color:category/property; error:concept/state
$theme-color-error,"""red-warm-50v""",_settings-color.scss,settings,namespace.category.concept,theme,color,error,,,,,,,,color:category/property; error:concept/state
$theme-color-error-dark,"""red-60v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,error,,,,,,,dark,color:category/property; error:concept/state
$theme-color-error-darker,"""red-70""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,error,,,,,,,darker,color:category/property; error:concept/state
$theme-color-warning-family,"""gold""",_settings-color.scss,settings,namespace.category.concept.property,theme,color,warning,family,,,,,,,color:category/property
$theme-color-warning-lighter,"""yellow-5""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,warning,,,,,,,lighter,color:category/property
$theme-color-warning-light,"""yellow-10v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,warning,,,,,,,light,color:category/property
$theme-color-warning,"""gold-20v""",_settings-color.scss,settings,namespace.category.concept,theme,color,warning,,,,,,,,color:category/property
$theme-color-warning-dark,"""gold-30v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,warning,,,,,,,dark,color:category/property
$theme-color-warning-darker,"""gold-50v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,warning,,,,,,,darker,color:category/property
$theme-color-success-family,"""green-cool""",_settings-color.scss,settings,namespace.category.concept.property,theme,color,success,family,,,,,,,color:category/property
$theme-color-success-lighter,"""green-cool-5""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,success,,,,,,,lighter,color:category/property
$theme-color-success-light,"""green-cool-20v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,success,,,,,,,light,color:category/property
$theme-color-success,"""green-cool-40v""",_settings-color.scss,settings,namespace.category.concept,theme,color,success,,,,,,,,color:category/property
$theme-color-success-dark,"""green-cool-50v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,success,,,,,,,dark,color:category/property
$theme-color-success-darker,"""green-cool-60v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,success,,,,,,,darker,color:category/property
$theme-color-info-family,"""cyan""",_settings-color.scss,settings,namespace.category.concept.property,theme,color,info,family,,,,,,,color:category/property
$theme-color-info-lighter,"""cyan-5""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,info,,,,,,,lighter,color:category/property
$theme-color-info-light,"""cyan-20""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,info,,,,,,,light,color:category/property
$theme-color-info,"""cyan-30v""",_settings-color.scss,settings,namespace.category.concept,theme,color,info,,,,,,,,color:category/property
$theme-color-info-dark,"""cyan-40v""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,info,,,,,,,dark,color:category/property
$theme-color-info-darker,"""blue-cool-60""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,info,,,,,,,darker,color:category/property
$theme-color-disabled-family,"""gray""",_settings-color.scss,settings,namespace.category.concept.property,theme,color,disabled,family,,,,,,,color:category/property; disabled:concept/state
$theme-color-disabled-lighter,"""gray-20""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,disabled,,,,,,,lighter,color:category/property; disabled:concept/state
$theme-color-disabled-light,"""gray-40""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,disabled,,,,,,,light,color:category/property; disabled:concept/state
$theme-color-disabled,"""gray-50""",_settings-color.scss,settings,namespace.category.concept,theme,color,disabled,,,,,,,,color:category/property; disabled:concept/state
$theme-color-disabled-dark,"""gray-70""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,disabled,,,,,,,dark,color:category/property; disabled:concept/state
$theme-color-disabled-darker,"""gray-90""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,disabled,,,,,,,darker,color:category/property; disabled:concept/state
$theme-color-emergency,"""red-warm-60v""",_settings-color.scss,settings,namespace.category.concept,theme,color,emergency,,,,,,,,color:category/property
$theme-color-emergency-dark,"""red-warm-80""",_settings-color.scss,settings,namespace.category.concept.mode,theme,color,emergency,,,,,,,dark,color:category/property
$theme-body-background-color,"""white""",_settings-color.scss,settings,namespace.category.property,theme,body,,background-color,,,,,,,body:category/concept
$theme-text-color,"""ink""",_settings-color.scss,settings,namespace.property,theme,,,text-color,,,,,,,
$theme-text-reverse-color,"""white""",_settings-color.scss,settings,namespace.component.property.state,theme,,,color,text,,,reverse,,,color:property/category
$theme-link-color,"""primary""",_settings-color.scss,settings,namespace.component.property,theme,,,color,link,,,,,,color:property/category
$theme-link-visited-color,"""violet-70v""",_settings-color.scss,settings,namespace.component.property.state,theme,,,color,link,,,visited,,,color:property/category
$theme-link-hover-color,"""primary-dark""",_settings-color.scss,settings,namespace.component.property.state,theme,,,color,link,,,hover,,,color:property/category
$theme-link-active-color,"""primary-darker""",_settings-color.scss,settings,namespace.component.property.state,theme,,,color,link,,,active,,,color:property/category
$theme-link-reverse-color,"""base-lighter""",_settings-color.scss,settings,namespace.component.property.state,theme,,,color,link,,,reverse,,,color:property/category
$theme-link-reverse-hover-color,"""base-lightest""",_settings-color.scss,settings,namespace.component.property.state,theme,,,color,link,,,reverse,,,color:property/category
$theme-link-reverse-active-color,"""white""",_settings-color.scss,settings,namespace.component.property.state,theme,,,color,link,,,reverse,,,color:property/category
$theme-accordion-background-color,"""default""",_settings-components.scss,settings,namespace.component.property,theme,,,background-color,accordion,,,,,,
$theme-accordion-border-color,"""base-lightest""",_settings-components.scss,settings,namespace.component.property,theme,,,border-color,accordion,,,,,,
$theme-accordion-border-width,0.5,_settings-components.scss,settings,namespace.component.property,theme,,,border-width,accordion,,,,,,
$theme-accordion-button-background-color,"""base-lightest""",_settings-components.scss,settings,namespace.component.property.element,theme,,,background-color,accordion,button,,,,,button:element/component
$theme-accordion-font-family,"""body""",_settings-components.scss,settings,namespace.component.property,theme,,,font-family,accordion,,,,,,
$theme-alert-bar-width,1,_settings-components.scss,settings,namespace.component.property,theme,,,bar-width,alert,,,,,,
$theme-alert-font-family,"""ui""",_settings-components.scss,settings,namespace.component.property,theme,,,font-family,alert,,,,,,
$theme-alert-icon-size,4,_settings-components.scss,settings,namespace.component.property,theme,,,icon-size,alert,,,,,,
$theme-alert-padding-x,2.5,_settings-components.scss,settings,namespace.component.property,theme,,,padding-x,alert,,,,,,
$theme-alert-padding-y,2,_settings-components.scss,settings,namespace.component.property,theme,,,padding-y,alert,,,,,,
$theme-alert-text-color,default,_settings-components.scss,settings,namespace.component.property,theme,,,text-color,alert,,,,,,
$theme-alert-text-reverse-color,default,_settings-components.scss,settings,namespace.component.property.state,theme,,,color,alert,,,reverse,,,color:property/category
$theme-alert-link-color,default,_settings-components.scss,settings,namespace.component.property,theme,,,color,alert,,,,,,color:property/category
$theme-alert-link-reverse-color,default,_settings-components.scss,settings,namespace.component.property.state,theme,,,color,alert,,,reverse,,,color:property/category
$theme-banner-background-color,"""base-lightest""",_settings-components.scss,settings,namespace.component.property,theme,,,background-color,banner,,,,,,
$theme-banner-font-family,"""ui""",_settings-components.scss,settings,namespace.component.property,theme,,,font-family,banner,,,,,,
$theme-banner-link-color,default,_settings-components.scss,settings,namespace.component.property,theme,,,color,banner,,,,,,color:property/category
$theme-banner-max-width,"""desktop""",_settings-components.scss,settings,namespace.component.property,theme,,,max-width,banner,,,,,,
