token_name,default_value,source_file,tier,formula,namespace,category,concept,property,component,element,variant,state,scale,mode,collisions
$system-color-blue-cool-10,#dae9ee,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,10,,color:category/property
$system-color-blue-cool-20,#adcfdc,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,20,,color:category/property
$system-color-blue-cool-30,#82b4c9,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,30,,color:category/property
$system-color-blue-cool-40,#6499af,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,40,,color:category/property
$system-color-blue-cool-50,#3a7d95,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,50,,color:category/property
$system-color-blue-cool-60,#2e6276,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,60,,color:category/property
$system-color-blue-cool-70,#224a58,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,70,,color:category/property
$system-color-blue-cool-80,#14333d,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,80,,color:category/property
$system-color-blue-cool-90,#0f191c,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,90,,color:category/property
$system-color-blue-cool-10,#c3ebfa,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,10,,color:category/property
$system-color-blue-cool-20,#97d4ea,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,20,,color:category/property
$system-color-blue-cool-30,#59b9de,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,30,,color:category/property
$system-color-blue-cool-40,#28a0cb,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,40,,color:category/property
$system-color-blue-cool-50,#0d7ea2,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,50,,color:category/property
$system-color-blue-cool-60,#07648d,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,60,,color:category/property
$system-color-blue-cool-70,#074b69,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,70,,color:category/property
$system-color-blue-cool-80,#002d3f,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,80,,color:category/property
$system-color-blue-cool-90,false,_blue-cool.scss,system,namespace.category.concept.scale,system,color,blue-cool,,,,,,90,,color:category/property
$system-color-blue-warm-10,#e1e7f1,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,10,,color:category/property
$system-color-blue-warm-20,#bbcae4,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,20,,color:category/property
$system-color-blue-warm-30,#98afd2,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,30,,color:category/property
$system-color-blue-warm-40,#7292c7,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,40,,color:category/property
$system-color-blue-warm-50,#4a77b4,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,50,,color:category/property
$system-color-blue-warm-60,#345d96,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,60,,color:category/property
$system-color-blue-warm-70,#2f4668,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,70,,color:category/property
$system-color-blue-warm-80,#252f3e,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,80,,color:category/property
$system-color-blue-warm-90,#13171f,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,90,,color:category/property
$system-color-blue-warm-10,#d4e5ff,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,10,,color:category/property
$system-color-blue-warm-20,#adcdff,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,20,,color:category/property
$system-color-blue-warm-30,#81aefc,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,30,,color:category/property
$system-color-blue-warm-40,#5994f6,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,40,,color:category/property
$system-color-blue-warm-50,#2672de,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,50,,color:category/property
$system-color-blue-warm-60,#0050d8,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,60,,color:category/property
$system-color-blue-warm-70,#1a4480,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,70,,color:category/property
$system-color-blue-warm-80,#162e51,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,80,,color:category/property
$system-color-blue-warm-90,false,_blue-warm.scss,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,90,,color:category/property
$system-color-blue-10,#d9e8f6,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,10,,color:category/property
$system-color-blue-20,#aacdec,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,20,,color:category/property
$system-color-blue-30,#73b3e7,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,30,,color:category/property
$system-color-blue-40,#4f97d1,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,40,,color:category/property
$system-color-blue-50,#2378c3,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,50,,color:category/property
$system-color-blue-60,#2c608a,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,60,,color:category/property
$system-color-blue-70,#274863,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,70,,color:category/property
$system-color-blue-80,#1f303e,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,80,,color:category/property
$system-color-blue-90,#11181d,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,90,,color:category/property
$system-color-blue-10,#cfe8ff,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,10,,color:category/property
$system-color-blue-20,#a1d3ff,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,20,,color:category/property
$system-color-blue-30,#58b4ff,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,30,,color:category/property
$system-color-blue-40,#2491ff,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,40,,color:category/property
$system-color-blue-50,#0076d6,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,50,,color:category/property
$system-color-blue-60,#005ea2,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,60,,color:category/property
$system-color-blue-70,#0b4778,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,70,,color:category/property
$system-color-blue-80,#112f4e,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,80,,color:category/property
$system-color-blue-90,false,_blue.scss,system,namespace.category.concept.scale,system,color,blue,,,,,,90,,color:category/property
$system-color-cyan-10,#ccecf2,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,10,,color:category/property
$system-color-cyan-20,#99deea,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,20,,color:category/property
$system-color-cyan-30,#5dc0d1,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,30,,color:category/property
$system-color-cyan-40,#449dac,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,40,,color:category/property
$system-color-cyan-50,#168092,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,50,,color:category/property
$system-color-cyan-60,#2a646d,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,60,,color:category/property
$system-color-cyan-70,#2c4a4e,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,70,,color:category/property
$system-color-cyan-80,#203133,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,80,,color:category/property
$system-color-cyan-90,#111819,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,90,,color:category/property
$system-color-cyan-10,#a8f2ff,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,10,,color:category/property
$system-color-cyan-20,#52daf2,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,20,,color:category/property
$system-color-cyan-30,#00bde3,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,30,,color:category/property
$system-color-cyan-40,#009ec1,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,40,,color:category/property
$system-color-cyan-50,#0081a1,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,50,,color:category/property
$system-color-cyan-60,#00687d,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,60,,color:category/property
$system-color-cyan-70,#0e4f5c,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,70,,color:category/property
$system-color-cyan-80,#093b44,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,80,,color:category/property
$system-color-cyan-90,false,_cyan.scss,system,namespace.category.concept.scale,system,color,cyan,,,,,,90,,color:category/property
$system-color-gold-10,#f1e5cd,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,10,,color:category/property
$system-color-gold-20,#dec69a,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,20,,color:category/property
$system-color-gold-30,#c7a97b,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,30,,color:category/property
$system-color-gold-40,#ad8b65,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,40,,color:category/property
$system-color-gold-50,#8e704f,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,50,,color:category/property
$system-color-gold-60,#6b5947,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,60,,color:category/property
$system-color-gold-70,#4d4438,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,70,,color:category/property
$system-color-gold-80,#322d26,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,80,,color:category/property
$system-color-gold-90,#191714,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,90,,color:category/property
$system-color-gold-10,#ffe396,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,10,,color:category/property
$system-color-gold-20,#ffbe2e,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,20,,color:category/property
$system-color-gold-30,#e5a000,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,30,,color:category/property
$system-color-gold-40,#c2850c,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,40,,color:category/property
$system-color-gold-50,#936f38,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,50,,color:category/property
$system-color-gold-60,#7a591a,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,60,,color:category/property
$system-color-gold-70,#5c410a,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,70,,color:category/property
$system-color-gold-80,#3b2b15,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,80,,color:category/property
$system-color-gold-90,false,_gold.scss,system,namespace.category.concept.scale,system,color,gold,,,,,,90,,color:category/property
$system-color-gray-cool-2,#f7f9fa,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,2,,color:category/property
$system-color-gray-cool-3,#f5f6f7,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,3,,color:category/property
$system-color-gray-cool-4,#f1f3f6,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,4,,color:category/property
$system-color-gray-cool-5,#edeff0,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,5,,color:category/property
$system-color-gray-cool-10,#dfe1e2,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,10,,color:category/property
$system-color-gray-cool-20,#c6cace,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,20,,color:category/property
$system-color-gray-cool-30,#a9aeb1,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,30,,color:category/property
$system-color-gray-cool-40,#8d9297,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,40,,color:category/property
$system-color-gray-cool-50,#71767a,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,50,,color:category/property
$system-color-gray-cool-60,#565c65,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,60,,color:category/property
$system-color-gray-cool-70,#3d4551,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,70,,color:category/property
$system-color-gray-cool-80,#2d2e2f,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,80,,color:category/property
$system-color-gray-cool-90,#1c1d1f,_gray-cool.scss,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,90,,color:category/property
$system-color-gray-warm-2,#f9f9f7,_gray-warm.scss,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,2,,color:category/property
$system-color-gray-warm-3,#f6f6f2,_gray-warm.scss,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,3,,color:category/property
$system-color-gray-warm-4,#f5f5f0,_gray-warm.scss,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,4,,color:category/property
